provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-ServiceFabric-Lease	1	0	Lease(UnicodeString arg1, Int64 arg2, UnicodeString arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	2	0	Lease2()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	3	0	Lease3()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	4	0	Lease4()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	5	0	Lease5()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	6	0	Lease6()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	7	0	Lease7()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	8	0	Lease8()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	9	0	Lease9()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	10	0	Lease10()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	11	0	Lease11()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	12	0	Lease12()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	13	0	Lease13()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	14	0	Lease14()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	15	0	Lease15()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	16	0	Lease16()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	17	0	Lease17()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	18	0	Lease18()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	19	0	Lease19()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	20	0	Lease20()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	21	0	Lease21()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	22	0	Lease22()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	23	0	Lease23()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	24	0	Lease24()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	25	0	Lease25()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	26	0	Lease26()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	27	0	Lease27()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	28	0	Lease28()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	29	0	Lease29()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	30	0	Lease30()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	31	0	Lease31(UnicodeString arg1)		LeaseAgent	Lease	Warning		
Microsoft-ServiceFabric-Lease	32	0	Lease32(UnicodeString arg1, Int64 arg2, UnicodeString arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	33	0	Lease33(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	34	0	Lease34(UnicodeString arg1, Int64 arg2, UnicodeString arg3)		LeaseAgent	Lease	Verbose		
Microsoft-ServiceFabric-Lease	35	0	Lease35(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Verbose		
Microsoft-ServiceFabric-Lease	36	0	Lease36(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	37	0	Lease37(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	38	0	Lease38(UnicodeString arg1, Int64 arg2, UnicodeString arg3, Int32 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	39	0	Lease39(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	40	0	Lease40(UnicodeString arg1, Int64 arg2, Int32 arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	41	0	Lease41(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	42	0	Lease42(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	43	0	Lease43(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	44	0	Lease44(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	45	0	Lease45(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	46	0	Lease46(UnicodeString arg1, Int64 arg2, UnicodeString arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	47	0	Lease47(UnicodeString arg1, Int64 arg2, UnicodeString arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	48	0	Lease48(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, UnicodeString arg8, Int64 arg9)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	49	0	Lease49(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	50	0	Lease50(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, UnicodeString arg8, Int64 arg9)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	51	0	Lease51(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	52	0	Lease52(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, Int64 arg8)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	53	0	Lease53(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, Int64 arg8)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	54	0	Lease54(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, Int64 arg8)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	55	0	Lease55(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, UnicodeString arg8, Int64 arg9)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	56	0	Lease56(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, UnicodeString arg8, Int64 arg9)		LeaseAgent	Lease	Verbose		
Microsoft-ServiceFabric-Lease	57	0	Lease57(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7, UnicodeString arg8, Int64 arg9)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	58	0	Lease58(UnicodeString arg1, Int64 arg2, Int64 arg3, Int64 arg4, UnicodeString arg5, UnicodeString arg6, UnicodeString arg7)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	59	0	Lease59(UnicodeString arg1, UnicodeString arg2, Int64 arg3)		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	60	0	Lease60(UnicodeString arg1, UnicodeString arg2, Int64 arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	61	0	Lease61(UnicodeString arg1, UnicodeString arg2, Int64 arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	62	0	Lease62(UnicodeString arg1, Int64 arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	63	0	Lease63(UnicodeString arg1, Int64 arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	64	0	Lease64(UnicodeString arg1, Int64 arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	65	0	Lease65()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	66	0	Lease66()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	67	0	Lease67()		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	68	0	Lease68(UnicodeString arg1, Int64 arg2, UnicodeString arg3)		LeaseAgent	Lease	Error		
Microsoft-ServiceFabric-Lease	69	0	Lease69(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	70	0	Lease70(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	71	0	Lease71(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3, Int64 arg4)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	72	0	Lease72(UnicodeString arg1, Int64 arg2, UnicodeString arg3)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	73	0	Lease73(UnicodeString arg1, Int64 arg2, UnicodeString arg3, Int64 arg4, UnicodeString arg5)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	74	0	Lease74(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	75	0	Lease75(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	76	0	Lease76(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	77	0	Lease77(UnicodeString arg1, Int64 arg2, UnicodeString arg3, Int64 arg4, UnicodeString arg5)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	78	0	Lease78(UnicodeString arg1, Int64 arg2)		LeaseAgent	Lease	Informational		
Microsoft-ServiceFabric-Lease	79	0	Lease79(UnicodeString arg1, Int64 arg2, UnicodeString arg3, UnicodeString arg4)		LeaseAgent	Lease	Verbose		
Microsoft-ServiceFabric-Lease	80	0	Lease80(UnicodeString arg1, UnicodeString arg2, Int64 arg3)		LeaseAgent	Lease	Error		
