provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-EnrollmentPolicyWebService	1	0	CertificateEnrollmentPolicyServer()			CertificateEnrollmentPolicyServer	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	2	0	CertificateEnrollmentPolicyServer2(UnicodeString URL, UnicodeString Authentication)			CertificateEnrollmentPolicyServer	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	3	0	CertificateEnrollmentPolicyServer3(UnicodeString URL)			CertificateEnrollmentPolicyServer	Warning		
Microsoft-Windows-EnrollmentPolicyWebService	4	0	CertificateEnrollmentPolicyServer4(Int32 Error)			CertificateEnrollmentPolicyServer	Error		
Microsoft-Windows-EnrollmentPolicyWebService	5	0	CertificateEnrollmentPolicyServer5()			CertificateEnrollmentPolicyServer	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	6	0	ActiveDirectoryCertificateEnrollmentPolicyProvider(UnicodeString DC)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	7	0	ActiveDirectoryCertificateEnrollmentPolicyProvider7()			ActiveDirectoryCertificateEnrollmentPolicyProvider	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	8	0	ActiveDirectoryCertificateEnrollmentPolicyProvider8(Int32 Error)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Error		
Microsoft-Windows-EnrollmentPolicyWebService	9	0	ActiveDirectoryCertificateEnrollmentPolicyProvider9(Int32 RetryIntervalMs, Int32 Error)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Error		
Microsoft-Windows-EnrollmentPolicyWebService	10	0	ActiveDirectoryCertificateEnrollmentPolicyProvider10()			ActiveDirectoryCertificateEnrollmentPolicyProvider	Warning		
Microsoft-Windows-EnrollmentPolicyWebService	11	0	ActiveDirectoryCertificateEnrollmentPolicyProvider11()			ActiveDirectoryCertificateEnrollmentPolicyProvider	Warning		
Microsoft-Windows-EnrollmentPolicyWebService	12	0	ActiveDirectoryCertificateEnrollmentPolicyProvider12(UnicodeString CA, Int32 Error)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Error		
Microsoft-Windows-EnrollmentPolicyWebService	13	0	ActiveDirectoryCertificateEnrollmentPolicyProvider13(UnicodeString Template, Int32 Error)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Error		
Microsoft-Windows-EnrollmentPolicyWebService	14	0	ActiveDirectoryCertificateEnrollmentPolicyProvider14(UnicodeString CA, UnicodeString Template, Int32 Error)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Error		
Microsoft-Windows-EnrollmentPolicyWebService	15	0	ActiveDirectoryCertificateEnrollmentPolicyProvider15(UnicodeString CA, UnicodeString URL, Int32 Error)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Error		
Microsoft-Windows-EnrollmentPolicyWebService	16	0	ActiveDirectoryCertificateEnrollmentPolicyProvider16(UnicodeString Template, UnicodeString TemplateDetails)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	17	0	ActiveDirectoryCertificateEnrollmentPolicyProvider17(UnicodeString CA, UnicodeString CADetails)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	18	0	ActiveDirectoryCertificateEnrollmentPolicyProvider18(UnicodeString OIDs)			ActiveDirectoryCertificateEnrollmentPolicyProvider	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	19	0	CertificateEnrollmentPolicyServer19()			CertificateEnrollmentPolicyServer	Error		
Microsoft-Windows-EnrollmentPolicyWebService	20	0	CertificateEnrollmentPolicyServer20(UnicodeString URL, UnicodeString Authentication)			CertificateEnrollmentPolicyServer	Informational		
Microsoft-Windows-EnrollmentPolicyWebService	21	0	CertificateEnrollmentPolicyServer21(UnicodeString URL, UnicodeString Authentication)			CertificateEnrollmentPolicyServer	Informational		
