provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-FileServices-ServerManager-EventProvider	0	0	Trace(UnicodeString message)		General	Trace	Error		
Microsoft-Windows-FileServices-ServerManager-EventProvider	1	0	Trace1(UnicodeString message)		General	Trace	Error		
Microsoft-Windows-FileServices-ServerManager-EventProvider	2	0	Trace2(UnicodeString message)		General	Trace	Warning		
Microsoft-Windows-FileServices-ServerManager-EventProvider	3	0	Trace3(UnicodeString message)		General	Trace	Informational		
Microsoft-Windows-FileServices-ServerManager-EventProvider	4	0	Trace4(UnicodeString message)		General	Trace	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	5	0	Trace5(UnicodeString message)		General	Trace	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	6	0	Trace6(UnicodeString message)		General	Trace	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	7	0	Trace7(UnicodeString message)		General	Trace	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	10	0	Refresh()		General	Refresh	Informational		
Microsoft-Windows-FileServices-ServerManager-EventProvider	101	0	Providerenumeratingobjects(UnicodeString message)		General	Providerenumeratingobjects	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	102	0	Providerenumeratingobjects102(UnicodeString message)		General	Providerenumeratingobjects	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	2001	0	Refresh2001(UnicodeString message)		Share	Refresh	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	2002	0	Refresh2002(UnicodeString message)		Share	Refresh	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	4001	0	Refresh4001(UnicodeString message)		Storage	Refresh	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	4002	0	Refresh4002(UnicodeString message)		Storage	Refresh	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	4003	0	Refresh4003(UnicodeString message)		Storage	Refresh	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	4004	0	Refresh4004(UnicodeString message)		Storage	Refresh	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	6000	0	Propertypageapplyingsettings(UnicodeString objectId)		iSCSI	Propertypageapplyingsettings	Informational		
Microsoft-Windows-FileServices-ServerManager-EventProvider	6001	0	Refresh6001(UnicodeString message)		iSCSI	Refresh	Verbose		
Microsoft-Windows-FileServices-ServerManager-EventProvider	6002	0	Refresh6002(UnicodeString message)		iSCSI	Refresh	Verbose		
