provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-SynthNic	1	0	task_0(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	2	0	task_02(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	3	0	task_03(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	4	0	task_04(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Critical		
Microsoft-Windows-Hyper-V-SynthNic	12560	0	task_012560(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString MacAddress)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12562	0	task_012562(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString MacAddress)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12564	0	task_012564(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12572	0	task_012572(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString MacAddress)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12580	0	task_012580(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString MacAddress)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12581	0	task_012581(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString MacAddress)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12582	0	task_012582(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12583	0	task_012583(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12584	0	task_012584(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12585	0	task_012585(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid, UnicodeString ErrorCodeString, UnicodeString ErrorCode)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12586	0	task_012586(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12587	0	task_012587(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid, UnicodeString ErrorCodeString, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12588	0	task_012588(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12589	0	task_012589(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid, UnicodeString ErrorCodeString, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12590	0	task_012590(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12597	0	task_012597(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12598	0	task_012598(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12603	0	task_012603(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12604	0	task_012604(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12605	0	task_012605(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12606	0	task_012606(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12607	0	task_012607(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12608	0	task_012608(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12609	0	task_012609(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12612	0	task_012612(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12613	0	task_012613(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12614	0	task_012614(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName, UnicodeString VfId, UnicodeString PfLuid)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12615	0	task_012615(UnicodeString VmId)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12670	0	task_012670(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UnicodeString ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12671	0	task_012671(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UnicodeString ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12680	0	task_012680(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12692	0	task_012692(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UnicodeString ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12693	0	task_012693(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UnicodeString ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthNic	12694	0	task_012694(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12695	0	task_012695(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12696	0	task_012696(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12697	0	task_012697(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthNic	12698	0	task_012698(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12699	0	task_012699(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthNic	12700	0	task_012700(UnicodeString VmName, UnicodeString VmId, UnicodeString NicGuid, UnicodeString NicName)			task_0	Error		
