provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-SynthStor	3584	0	task_0(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Informational		
Microsoft-Windows-Hyper-V-SynthStor	3585	0	task_03585(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Warning		
Microsoft-Windows-Hyper-V-SynthStor	3586	0	task_03586(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	3587	0	task_03587(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Critical		
Microsoft-Windows-Hyper-V-SynthStor	12134	0	task_012134(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	12135	0	task_012135(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	12136	0	task_012136(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	12137	0	task_012137(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	12138	0	task_012138(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	12139	0	task_012139(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	12140	0	task_012140(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
Microsoft-Windows-Hyper-V-SynthStor	12141	0	task_012141(UnicodeString VmName, UnicodeString VmId, UnicodeString String, UnicodeString ErrorCodeString, UInt32 ErrorCode, UnicodeString Param1, UnicodeString Param2)			task_0	Error		
