provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-UiDevices	1500	0	task_0(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Informational		
Microsoft-Windows-Hyper-V-UiDevices	1510	0	task_01510(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Warning		
Microsoft-Windows-Hyper-V-UiDevices	1520	0	task_01520(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Error		
Microsoft-Windows-Hyper-V-UiDevices	1530	0	task_01530(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Critical		
Microsoft-Windows-Hyper-V-UiDevices	12460	0	task_012460(UnicodeString VmName, UnicodeString VmId, UnicodeString ErrorCodeString, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-UiDevices	12461	0	task_012461(UnicodeString VmName, UnicodeString VmId, UnicodeString ErrorCodeString, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-UiDevices	12480	0	task_012480(UnicodeString VmName, UnicodeString VmId, UnicodeString ErrorCodeString, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-UiDevices	12481	0	task_012481(UnicodeString VmName, UnicodeString VmId, UnicodeString ErrorCodeString, UnicodeString ErrorCode)			task_0	Error		
Microsoft-Windows-Hyper-V-UiDevices	12530	0	task_012530(UnicodeString VmName, UnicodeString VmId, UnicodeString Device)			task_0	Critical		
Microsoft-Windows-Hyper-V-UiDevices	12531	0	task_012531(UnicodeString VmName, UnicodeString VmId, UnicodeString Device)			task_0	Critical		
Microsoft-Windows-Hyper-V-UiDevices	12540	0	task_012540(UnicodeString VmName, UnicodeString VmId, UnicodeString Device)			task_0	Critical		
