provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-VSmb	1	0	task_0(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Informational		
Microsoft-Windows-Hyper-V-VSmb	2	0	task_02(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Warning		
Microsoft-Windows-Hyper-V-VSmb	3	0	task_03(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Error		
Microsoft-Windows-Hyper-V-VSmb	4	0	task_04(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Critical		
Microsoft-Windows-Hyper-V-VSmb	101	1	Smb2ResponseNegotiate_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC)		Response	Smb2ResponseNegotiate	Informational		
Microsoft-Windows-Hyper-V-VSmb	102	1	Smb2ResponseSessionSetup_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC)		Response	Smb2ResponseSessionSetup	Informational		
Microsoft-Windows-Hyper-V-VSmb	103	1	Smb2ResponseLogoff_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC)		Response	Smb2ResponseLogoff	Informational		
Microsoft-Windows-Hyper-V-VSmb	104	1	Smb2ResponseTreeConnect_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC, UInt8 ShareType, UInt32 ShareFlags, UInt32 Capabilities, UInt32 MaximalAccess)		Response	Smb2ResponseTreeConnect	Informational		
Microsoft-Windows-Hyper-V-VSmb	105	1	Smb2ResponseTreeDisconnect_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC)		Response	Smb2ResponseTreeDisconnect	Informational		
Microsoft-Windows-Hyper-V-VSmb	106	1	Smb2ResponseEcho_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC)		Response	Smb2ResponseEcho	Informational		
Microsoft-Windows-Hyper-V-VSmb	108	1	Smb2ResponseCreate_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC, UInt64 AllocationSize, UInt16 FileNameLength, UnicodeString FileName)		Response	Smb2ResponseCreate	Informational		
Microsoft-Windows-Hyper-V-VSmb	109	1	Smb2ResponseClose_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC, UInt64 AllocationSize, UInt16 FileNameLength, UnicodeString FileName)		Response	Smb2ResponseClose	Informational		
Microsoft-Windows-Hyper-V-VSmb	110	1	Smb2ResponseFlush_V1(UInt64 SessionId, UInt32 ProcessId, UInt32 TreeId, UInt64 MessageId, UInt64 MasterMessageId, UInt16 Command, UInt16 CreditsGranted, UInt32 Flags, UInt32 Status, UInt64 ResponseTime_QPC, UInt64 AllocationSize, UInt16 FileNameLength, UnicodeString FileName)		Response	Smb2ResponseFlush	Informational		
