provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-VfpExt	1	0	task_0(UInt32 PortId, UInt8 Direction, UInt8 Type, UInt32 PktLen, Binary PktContents, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Intercept	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	2	0	task_02(UInt32 PortId, UInt32 PktLen, Binary PktContents, UnicodeString PortName, UnicodeString PortFriendlyName)		Intercept	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	51	0	task_051(UInt32 PortId, UInt8 Direction, UInt8 Reason, UInt32 PktLen, Binary PktContents, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Guard	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	52	0	task_052(UInt32 PortId, UInt8 Direction, UInt8 Reason, UnicodeString SrcMacAddr, UnicodeString DstMacAddr, UInt16 Type, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Guard	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	53	0	task_053(UInt32 PortId, UInt8 Direction, UInt8 Reason, UnicodeString SrcMacAddr, UnicodeString DstMacAddr, UInt32 SrcIpv4Addr, UInt32 DstIpv4Addr, UInt8 IpProtocol, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Guard	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	54	0	task_054(UInt32 PortId, UInt8 Direction, UInt8 Reason, UnicodeString SrcMacAddr, UnicodeString DstMacAddr, Binary SrcIpv6Addr, Binary DstIpv6Addr, UInt8 IpProtocol, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Guard	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	55	0	task_055(UInt32 PortId, UInt8 Direction, UInt8 Reason, UnicodeString SrcMacAddr, UnicodeString DstMacAddr, UInt32 SrcIpv4Addr, UInt32 DstIpv4Addr, UInt8 IpProtocol, UInt16 SrcPort, UInt16 DstPort, Boolean IsTcpSyn, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Guard	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	56	0	task_056(UInt32 PortId, UInt8 Direction, UInt8 Reason, UnicodeString SrcMacAddr, UnicodeString DstMacAddr, Binary SrcIpv6Addr, Binary DstIpv6Addr, UInt8 IpProtocol, UInt16 SrcPort, UInt16 DstPort, Boolean IsTcpSyn, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Guard	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	57	0	task_057(UInt32 PortId, UInt8 Direction, UInt8 Reason, UInt16 ArpType, UnicodeString SenderMacAddr, UInt32 SenderIpAddr, UnicodeString TargetMacAddr, UInt32 TargetIpAddr, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags)		Guard	task_0	Informational		
Microsoft-Windows-Hyper-V-VfpExt	100	0	task_0100(UInt32 PortId, UInt8 Direction, UInt32 ProcessingType, UInt32 PktLen, Binary PktContents, UnicodeString PortName, UnicodeString PortFriendlyName, UInt32 GftFlags, UInt32 ResumeLayer)		Rule	task_0	Informational		
