provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Hyper-V-VmSwitch	1	0	ConfigStoreInitialize(UInt32 Status)		VmsControlPath	ConfigStoreInitialize	Error		
Microsoft-Windows-Hyper-V-VmSwitch	2	0	ConfigStoreInitialize2(UInt32 Status)		VmsControlPath	ConfigStoreInitialize	Error		
Microsoft-Windows-Hyper-V-VmSwitch	3	0	DriverInit(UInt32 Status)		VmsControlPath	DriverInit	Error		
Microsoft-Windows-Hyper-V-VmSwitch	4	0	DriverInit4(UInt32 Status, UInt32 UniqueEvent)		VmsControlPath	DriverInit	Error		
Microsoft-Windows-Hyper-V-VmSwitch	5	0	EnableNIC(UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName)		VmsControlPath	EnableNIC	Informational		
Microsoft-Windows-Hyper-V-VmSwitch	6	0	EnableNIC6(UInt32 Status, UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName, UInt32 UniqueEvent)		VmsControlPath	EnableNIC	Error		
Microsoft-Windows-Hyper-V-VmSwitch	7	0	InitializeNIC(UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName)		VmsControlPath	InitializeNIC	Informational		
Microsoft-Windows-Hyper-V-VmSwitch	8	0	InitializeNIC8(UInt32 Status, UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName, UInt32 UniqueEvent)		VmsControlPath	InitializeNIC	Error		
Microsoft-Windows-Hyper-V-VmSwitch	9	0	InitializeSwitch(UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName, UInt32 Flags, UInt32 OwnerService)		VmsControlPath	InitializeSwitch	Informational		
Microsoft-Windows-Hyper-V-VmSwitch	10	0	InitializeSwitch10(UInt32 Status, UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName, UInt32 UniqueEvent)		VmsControlPath	InitializeSwitch	Error		
Microsoft-Windows-Hyper-V-VmSwitch	11	0	StoreSwitch(UInt32 Status, UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName, UInt32 UniqueEvent)		VmsControlPath	StoreSwitch	Error		
Microsoft-Windows-Hyper-V-VmSwitch	12	0	StorePort(UInt32 Status, UInt32 PortNameLen, UnicodeString PortName, UInt32 PortFNameLen, UnicodeString PortFName, UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName, UInt32 UniqueEvent)		VmsControlPath	StorePort	Error		
Microsoft-Windows-Hyper-V-VmSwitch	13	0	StoreNic(UInt32 Status, UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName, UInt32 UniqueEvent)		VmsControlPath	StoreNic	Error		
Microsoft-Windows-Hyper-V-VmSwitch	14	0	RestoreSwitch(UInt32 Status, UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName, UInt32 UniqueEvent)		VmsControlPath	RestoreSwitch	Error		
Microsoft-Windows-Hyper-V-VmSwitch	15	0	RestorePort(UInt32 Status, UInt32 PortNameLen, UnicodeString PortName, UInt32 PortFNameLen, UnicodeString PortFName, UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName, UInt32 UniqueEvent)		VmsControlPath	RestorePort	Error		
Microsoft-Windows-Hyper-V-VmSwitch	16	0	RestoreNic(UInt32 Status, UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName, UInt32 UniqueEvent)		VmsControlPath	RestoreNic	Error		
Microsoft-Windows-Hyper-V-VmSwitch	17	0	BindProtocolNic(UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName, UInt32 PortNameLen, UnicodeString PortName, UInt32 PortFNameLen, UnicodeString PortFName, UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName)		VmsControlPath	BindProtocolNic	Informational		
Microsoft-Windows-Hyper-V-VmSwitch	18	0	BindProtocolNic18(UInt32 Status, UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName, UInt32 PortNameLen, UnicodeString PortName, UInt32 PortFNameLen, UnicodeString PortFName, UInt32 SwitchNameLen, UnicodeString SwitchName, UInt32 SwitchFNameLen, UnicodeString SwitchFName, UInt32 UniqueEvent)		VmsControlPath	BindProtocolNic	Error		
Microsoft-Windows-Hyper-V-VmSwitch	19	0	UnbindProtocolNic(UInt32 NicNameLen, UnicodeString NicName, UInt32 NicFNameLen, UnicodeString NicFName)		VmsControlPath	UnbindProtocolNic	Informational		
