provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IIS-IisMetabaseAudit	4500	0	task_0(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabasePath, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4501	0	task_04501(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabasePath, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4502	0	task_04502(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabasePath, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4503	0	task_04503(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabaseSourcePath, UnicodeString MetabaseDestinationPath, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4504	0	task_04504(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabaseSourcePath, UnicodeString NewKeyName, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4505	0	task_04505(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabasePath, UnicodeString PropertyID, UnicodeString PropertyName, UnicodeString OldValue, UnicodeString NewValue, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4506	0	task_04506(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabasePath, UnicodeString PropertyID, UnicodeString PropertyName, UnicodeString OldValue, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4507	0	task_04507(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabasePath, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4508	0	task_04508(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabaseSourcePath, UnicodeString MetabaseDestinationPath, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4509	0	task_04509(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabasePath, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4510	0	task_04510(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString BackupName, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4511	0	task_04511(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString BackupName, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
Microsoft-Windows-IIS-IisMetabaseAudit	4512	0	task_04512(UnicodeString UserName, UnicodeString Domain, UnicodeString LogonID, UnicodeString MetabaseSourcePath, UnicodeString MetabaseDestinationPath, UnicodeString ImportFileName, UnicodeString CallerPID, UnicodeString CallerImagePath, UnicodeString Result)			task_0	Always		
