provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IIS-W3SVC-WP	2201	0	task_0PCODE_192pcode_192(UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2203	0	task_0PCODE_192pcode_1922203(UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2204	0	task_0PCODE_192pcode_1922204(UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2206	0	task_0PCODE_192pcode_1922206(UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2208	0	task_0PCODE_192pcode_1922208(UnicodeString HostAddress, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2214	0	task_0PCODE_192pcode_1922214(UnicodeString IsapiFilter, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2216	0	task_0PCODE_192pcode_1922216(UnicodeString Url, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2218	0	task_0PCODE_192pcode_1922218(UnicodeString File, UnicodeString Error, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2219	0	task_0PCODE_192pcode_1922219(UnicodeString IsapiExtension, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2220	0	task_0PCODE_192pcode_1922220(UnicodeString IsapiExtension, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2221	0	task_0PCODE_192pcode_1922221()	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2223	0	task_0PCODE_64pcode_64(UnicodeString IsapiFilter, UInt32 __binLength, Binary binary)	opcode_64		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2226	0	task_0PCODE_128pcode_128(UnicodeString File, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2227	0	task_0PCODE_192pcode_1922227()	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2228	0	task_0PCODE_128pcode_1282228(UnicodeString Application, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2229	0	task_0PCODE_128pcode_1282229(UnicodeString Application, UnicodeString Error, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2230	0	task_0PCODE_128pcode_1282230(UnicodeString File, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2231	0	task_0PCODE_128pcode_1282231(UnicodeString File, UnicodeString Win32Error, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2232	0	task_0PCODE_128pcode_1282232(UnicodeString File, UnicodeString MaxSize, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2233	0	task_0PCODE_128pcode_1282233(UnicodeString File, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC-WP	2236	0	task_0PCODE_128pcode_1282236(UnicodeString Application, UnicodeString Error, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
