provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-IIS-W3SVC	1001	0	task_0PCODE_128pcode_128()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1002	0	task_0PCODE_192pcode_192()	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1003	0	task_0PCODE_192pcode_1921003(UnicodeString UrlPrefix, UnicodeString SiteID, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1004	0	task_0PCODE_192pcode_1921004(UnicodeString UrlPrefix, UnicodeString SiteID, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1005	0	task_0PCODE_192pcode_1921005(UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1006	0	task_0PCODE_192pcode_1921006()	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1007	0	task_0PCODE_192pcode_1921007(UnicodeString UrlPrefix, UnicodeString SiteID, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1008	0	task_0PCODE_128pcode_1281008()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1009	0	task_0PCODE_128pcode_1281009()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1010	0	task_0PCODE_128pcode_1281010()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1011	0	task_0PCODE_128pcode_1281011()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1012	0	task_0PCODE_128pcode_1281012()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1013	0	task_0PCODE_128pcode_1281013()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1014	0	task_0PCODE_128pcode_1281014()	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1015	0	task_0PCODE_192pcode_1921015()	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1016	0	task_0PCODE_128pcode_1281016(UnicodeString SiteID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1017	0	task_0PCODE_192pcode_1921017()	opcode_192		task_0	Always		
Microsoft-Windows-IIS-W3SVC	1018	0	task_0PCODE_192pcode_1921018(UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
