provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-MSMQ	1	0	task_0(GUID MessageIDGUID, UInt32 MessageIDIdentity, UnicodeString QueueName)		msmqe2emessage	task_0	Informational		
Microsoft-Windows-MSMQ	2	0	task_02()		msmqe2emessage	task_0	Informational		
Microsoft-Windows-MSMQ	3	0	task_03()		msmqe2emessage	task_0	Informational		
Microsoft-Windows-MSMQ	4	0	task_04()		msmqe2emessage	task_0	Informational		
Microsoft-Windows-MSMQ	5	0	task_05(GUID MessageIDGUID, UInt32 MessageIDIdentity, UnicodeString QueueName)		msmqe2emessage	task_0	Informational		
Microsoft-Windows-MSMQ	2000	0	task_0PCODE_192pcode_192(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2001	0	task_0PCODE_192pcode_1922001(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2015	0	task_0PCODE_192pcode_1922015(UnicodeString param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2016	0	task_0PCODE_192pcode_1922016(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2020	0	task_0PCODE_192pcode_1922020(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2023	0	task_0PCODE_192pcode_1922023(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2024	0	task_0PCODE_64pcode_64(UnicodeString param1, UnicodeString param2)	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2028	0	task_0PCODE_64pcode_642028()	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2035	0	task_0PCODE_192pcode_1922035(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2043	0	task_0PCODE_128pcode_128(UnicodeString param1, UnicodeString param2)	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2044	0	task_0PCODE_128pcode_1282044()	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2045	0	task_0PCODE_128pcode_1282045()	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2047	0	task_0PCODE_192pcode_1922047(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2048	0	task_0PCODE_192pcode_1922048()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2053	0	task_0PCODE_192pcode_1922053(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2059	0	task_0PCODE_128pcode_1282059(UnicodeString param1, UnicodeString param2)	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2060	0	task_0PCODE_64pcode_642060()	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2061	0	task_0PCODE_192pcode_1922061(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2064	0	task_0PCODE_192pcode_1922064(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2068	0	task_0PCODE_192pcode_1922068()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2076	0	task_0PCODE_192pcode_1922076(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2078	0	task_0PCODE_192pcode_1922078(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2079	0	task_0PCODE_192pcode_1922079(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2083	0	task_0PCODE_192pcode_1922083(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2084	0	task_0PCODE_192pcode_1922084()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2085	0	task_0PCODE_192pcode_1922085(UnicodeString param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2086	0	task_0PCODE_64pcode_642086(UnicodeString param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2087	0	task_0PCODE_128pcode_1282087(UnicodeString param1)	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2095	0	task_0PCODE_192pcode_1922095()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2096	0	task_0PCODE_192pcode_1922096()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2097	0	task_0PCODE_192pcode_1922097()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2116	0	task_0PCODE_192pcode_1922116(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2117	0	task_0PCODE_192pcode_1922117(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2118	0	task_0PCODE_192pcode_1922118(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2119	0	task_0PCODE_192pcode_1922119()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2120	0	task_0PCODE_192pcode_1922120(UnicodeString param1, UnicodeString param2)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2122	0	task_0PCODE_192pcode_1922122()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2123	0	task_0PCODE_128pcode_1282123()	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2124	0	task_0PCODE_192pcode_1922124(UnicodeString param1, UnicodeString param2, UnicodeString param3)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2125	0	task_0PCODE_64pcode_642125(UnicodeString param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2126	0	task_0PCODE_64pcode_642126()	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2127	0	task_0PCODE_192pcode_1922127(UnicodeString param1)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2134	0	task_0PCODE_64pcode_642134(UnicodeString param1)	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2135	0	task_0PCODE_64pcode_642135(UnicodeString param1, UnicodeString param2)	opcode_64		task_0	Always		
Microsoft-Windows-MSMQ	2139	0	task_0PCODE_128pcode_1282139()	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2140	0	task_0PCODE_128pcode_1282140()	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2141	0	task_0PCODE_192pcode_1922141(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2142	0	task_0PCODE_192pcode_1922142(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4, UnicodeString param5)	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2143	0	task_0PCODE_192pcode_1922143()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2144	0	task_0PCODE_128pcode_1282144()	opcode_128		task_0	Always		
Microsoft-Windows-MSMQ	2145	0	task_0PCODE_192pcode_1922145()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2147	0	task_0PCODE_192pcode_1922147()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2148	0	task_0PCODE_192pcode_1922148()	opcode_192		task_0	Always		
Microsoft-Windows-MSMQ	2149	0	task_0PCODE_192pcode_1922149()	opcode_192		task_0	Always		
