provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Management-UI	257	0	CommandBase.Executehasbeencalled.Start()	Start		CommandBase.Executehasbeencalled.	Informational		
Microsoft-Windows-Management-UI	258	0	CommandBase.Executehasbeencalled.Stop()	Stop		CommandBase.Executehasbeencalled.	Informational		
Microsoft-Windows-Management-UI	259	0	CommandBase.CanExecutehasbeencalled.Start()	Start		CommandBase.CanExecutehasbeencalled.	Informational		
Microsoft-Windows-Management-UI	260	0	CommandBase.CanExecutehasbeencalled.Stop()	Stop		CommandBase.CanExecutehasbeencalled.	Informational		
Microsoft-Windows-Management-UI	261	0	task_0()			task_0	Informational		
Microsoft-Windows-Management-UI	262	0	OnOpenedeventstarted,DismissiblePopupisinitializingStart()	Start		OnOpenedeventstarted,DismissiblePopupisinitializing	Informational		
Microsoft-Windows-Management-UI	263	0	OnOpenedeventcompleted,DismissiblePopupisreadytoshowupStop()	Stop		OnOpenedeventcompleted,DismissiblePopupisreadytoshowup	Informational		
Microsoft-Windows-Management-UI	264	0	DeveloperDebugInformation(UnicodeString componentName, UnicodeString message)			DeveloperDebugInformation	Informational		
Microsoft-Windows-Management-UI	1281	0	ActionContextMenuupdatemenuitems.Start(UInt32 actionsCount)	Start		ActionContextMenuupdatemenuitems.	Informational		
Microsoft-Windows-Management-UI	1282	0	ActionContextMenuupdatemenuitems.(UInt32 menuItemsCount, UInt32 submenusCount, UInt32 submenuItemsCounts)			ActionContextMenuupdatemenuitems.	Informational		
Microsoft-Windows-Management-UI	1283	0	ActionContextMenuupdatemenuitems.1283(UInt32 menuItemsCount, UInt32 submenusCount, UInt32 submenuItemsCounts)			ActionContextMenuupdatemenuitems.	Informational		
Microsoft-Windows-Management-UI	1286	0	ActionContextMenuupdatemenuitems.Stop()	Stop		ActionContextMenuupdatemenuitems.	Informational		
Microsoft-Windows-Management-UI	1537	0	NavigationServiceselecteditemchangedto%1.Stop(UnicodeString navItemPath)	Stop		NavigationServiceselecteditemchangedto%1.	Informational		
Microsoft-Windows-Management-UI	1538	0	NavigationHistorynavigatingtohistoryitemfor%1.(UnicodeString navItemPath)			NavigationHistorynavigatingtohistoryitemfor%1.	Informational		
Microsoft-Windows-Management-UI	1539	0	NavigationServiceselecteditemchangedto%1.Start(UnicodeString navItemPath)	Start		NavigationServiceselecteditemchangedto%1.	Informational		
Microsoft-Windows-Management-UI	1540	0	ViewManagerOnShow.Start(UnicodeString navItemPath)	Start		ViewManagerOnShow.	Informational		
Microsoft-Windows-Management-UI	1541	0	ViewManagerOnShow.Stop(UnicodeString navItemPath)	Stop		ViewManagerOnShow.	Informational		
Microsoft-Windows-Management-UI	1542	0	ViewManagerOnHide.Start(UnicodeString navItemPath)	Start		ViewManagerOnHide.	Informational		
Microsoft-Windows-Management-UI	1543	0	ViewManagerOnHide.Stop(UnicodeString navItemPath)	Stop		ViewManagerOnHide.	Informational		
Microsoft-Windows-Management-UI	1544	0	ViewManagerViewCreation.Start(UnicodeString navItemPath)	Start		ViewManagerViewCreation.	Informational		
Microsoft-Windows-Management-UI	1545	0	ViewManagerViewCreation.Stop(UnicodeString navItemPath)	Stop		ViewManagerViewCreation.	Informational		
Microsoft-Windows-Management-UI	1546	0	ViewManagerViewUpdate.Start(UnicodeString navItemPath)	Start		ViewManagerViewUpdate.	Informational		
Microsoft-Windows-Management-UI	1547	0	ViewManagerViewUpdate.Stop(UnicodeString navItemPath)	Stop		ViewManagerViewUpdate.	Informational		
Microsoft-Windows-Management-UI	1548	0	NavigationServiceselecteditemchangedto%1.(UnicodeString navItemPath, UnicodeString errorString)			NavigationServiceselecteditemchangedto%1.	Error		
Microsoft-Windows-Management-UI	1549	0	ViewManagerOnShow.(UnicodeString navItemPath, UnicodeString errorString)			ViewManagerOnShow.	Error		
Microsoft-Windows-Management-UI	1550	0	ViewManagerOnHide.(UnicodeString navItemPath, UnicodeString errorString)			ViewManagerOnHide.	Error		
Microsoft-Windows-Management-UI	1551	0	ViewManagerViewCreation.(UnicodeString navItemPath, UnicodeString errorString)			ViewManagerViewCreation.	Error		
Microsoft-Windows-Management-UI	1552	0	ViewManagerViewCleanup.Start(UnicodeString navItemPath)	Start		ViewManagerViewCleanup.	Informational		
Microsoft-Windows-Management-UI	1553	0	ViewManagerViewCleanup.Stop(UnicodeString navItemPath)	Stop		ViewManagerViewCleanup.	Informational		
Microsoft-Windows-Management-UI	1554	0	ViewManagerViewCleanup.(UnicodeString navItemPath, UnicodeString errorString)			ViewManagerViewCleanup.	Error		
Microsoft-Windows-Management-UI	1555	0	BookmarkConverterConvertToNavigationItem.Start(UnicodeString navItemPath)	Start		BookmarkConverterConvertToNavigationItem.	Informational		
Microsoft-Windows-Management-UI	1556	0	BookmarkConverterConvertToNavigationItem.Stop(UnicodeString navItemPath)	Stop		BookmarkConverterConvertToNavigationItem.	Informational		
Microsoft-Windows-Management-UI	1557	0	BookmarkConverterConvertToNavigationItem.(UnicodeString navItemPath, UnicodeString errorString)			BookmarkConverterConvertToNavigationItem.	Error		
Microsoft-Windows-Management-UI	1558	0	BookmarkConverterConvertToBookmark.Start(UnicodeString navItemPath)	Start		BookmarkConverterConvertToBookmark.	Informational		
Microsoft-Windows-Management-UI	1559	0	BookmarkConverterConvertToBookmark.Stop(UnicodeString navItemPath)	Stop		BookmarkConverterConvertToBookmark.	Informational		
Microsoft-Windows-Management-UI	1560	0	BookmarkConverterConvertToBookmark.(UnicodeString navItemPath, UnicodeString errorString)			BookmarkConverterConvertToBookmark.	Error		
Microsoft-Windows-Management-UI	1561	0	PathConverterConvertToNavigationItem.Start(UnicodeString navItemPath)	Start		PathConverterConvertToNavigationItem.	Informational		
