provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ManagementTools-RegistryProvider	1000	0	LifetimeStart(UnicodeString arg0)	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1001	0	LifetimeStop(UnicodeString arg0)	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1002	0	Lifetime(UnicodeString arg0)			Lifetime	Error		
Microsoft-Windows-ManagementTools-RegistryProvider	1003	0	LifetimeStart1003(UnicodeString arg0)	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1004	0	LifetimeStop1004(UnicodeString arg0)	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1005	0	Lifetime1005(UnicodeString arg0)			Lifetime	Error		
Microsoft-Windows-ManagementTools-RegistryProvider	1100	0	LifetimeStart1100(UnicodeString arg0)	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1101	0	LifetimeStop1101(UnicodeString arg0)	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1102	0	Lifetime1102(Int32 arg0, UnicodeString arg1)			Lifetime	Error		
Microsoft-Windows-ManagementTools-RegistryProvider	1103	0	LifetimeStart1103(UnicodeString arg0)	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1104	0	LifetimeStop1104(UnicodeString arg0)	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1105	0	Lifetime1105(Int32 arg0, UnicodeString arg1)			Lifetime	Error		
Microsoft-Windows-ManagementTools-RegistryProvider	1106	0	LifetimeStart1106(UnicodeString arg0)	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1107	0	LifetimeStop1107(UnicodeString arg0)	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-RegistryProvider	1108	0	Lifetime1108(Int32 arg0, UnicodeString arg1)			Lifetime	Error		
Microsoft-Windows-ManagementTools-RegistryProvider	1109	0	ActionStart(UnicodeString arg0, UnicodeString arg1)	Start		Action	Informational		
