provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ManagementTools-TaskManagerProvider	1000	0	LifetimeStart(UnicodeString arg0)	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1001	0	LifetimeStop(UnicodeString arg0)	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1002	0	Lifetime(UnicodeString arg0)			Lifetime	Error		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1003	0	LifetimeStart1003(UnicodeString arg0)	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1004	0	LifetimeStop1004(UnicodeString arg0)	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1005	0	Lifetime1005(UnicodeString arg0)			Lifetime	Error		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1100	0	ActionStart(UInt16 arg0)	Start		Action	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1101	0	ActionStop(UInt16 arg0)	Stop		Action	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1102	0	Action(Int32 arg1, UnicodeString arg0)			Action	Error		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1103	0	ActionStart1103()	Start		Action	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1104	0	ActionStop1104()	Stop		Action	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1105	0	Action1105(Int32 arg1, UnicodeString arg0)			Action	Error		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1106	0	LifetimeStart1106()	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1107	0	LifetimeStop1107()	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1108	0	Lifetime1108(Int32 arg1, UnicodeString arg0)			Lifetime	Error		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1109	0	LifetimeStart1109()	Start		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1110	0	LifetimeStop1110()	Stop		Lifetime	Informational		
Microsoft-Windows-ManagementTools-TaskManagerProvider	1111	0	Lifetime1111(Int32 arg1, UnicodeString arg0)			Lifetime	Error		
