provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-Rdms-UI	4097	0	Deployment()			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4098	0	Deployment4098(UnicodeString arg1)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4099	0	Deployment4099(UnicodeString arg1, UnicodeString arg2)			Deployment	Error		
Microsoft-Windows-Rdms-UI	4100	0	Deployment4100(UnicodeString arg1)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4101	0	Deployment4101(UnicodeString arg1)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4102	0	Deployment4102()			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4103	0	Deployment4103(UnicodeString arg1)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4104	0	Deployment4104(UnicodeString arg1, UnicodeString arg2)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4105	0	Deployment4105(UnicodeString arg1)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4112	0	Deployment4112()			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4113	0	Deployment4113()			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4114	0	Deployment4114()			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4115	0	Deployment4115(UnicodeString arg1, UnicodeString arg2)			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4116	0	Deployment4116(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Deployment	Error		
Microsoft-Windows-Rdms-UI	4117	0	Deployment4117(UnicodeString arg1, UnicodeString arg2)			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4118	0	Deployment4118(UnicodeString arg1, UnicodeString arg2)			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4119	0	Deployment4119(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Deployment	Error		
Microsoft-Windows-Rdms-UI	4120	0	Deployment4120(UnicodeString arg1, UnicodeString arg2)			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4121	0	Deployment4121(UnicodeString arg1)			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4122	0	Deployment4122(UnicodeString arg1)			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4123	0	Deployment4123(UnicodeString arg1)			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4124	0	Deployment4124(UnicodeString arg1)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4125	0	Deployment4125(UnicodeString arg1)			Deployment	Verbose		
Microsoft-Windows-Rdms-UI	4126	0	Deployment4126()			Deployment	Informational		
Microsoft-Windows-Rdms-UI	4127	0	Deployment4127()			Deployment	Informational		
Microsoft-Windows-Rdms-UI	8192	0	VDICollectionCreation(UnicodeString arg1, UnicodeString arg2)			VDICollectionCreation	Informational		
Microsoft-Windows-Rdms-UI	8193	0	VDICollectionCreation8193(UnicodeString arg1, UnicodeString arg2)			VDICollectionCreation	Informational		
Microsoft-Windows-Rdms-UI	8194	0	Export(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Export	Informational		
Microsoft-Windows-Rdms-UI	8195	0	Export8195(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Export	Error		
Microsoft-Windows-Rdms-UI	8196	0	Export8196(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Export	Informational		
Microsoft-Windows-Rdms-UI	8197	0	Pool(UnicodeString arg1, UnicodeString arg2)			Pool	Informational		
Microsoft-Windows-Rdms-UI	8198	0	Pool8198(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Pool	Error		
Microsoft-Windows-Rdms-UI	8199	0	Pool8199(UnicodeString arg1, UnicodeString arg2)			Pool	Informational		
Microsoft-Windows-Rdms-UI	8200	0	Pool8200(UnicodeString arg1)			Pool	Informational		
Microsoft-Windows-Rdms-UI	8201	0	Pool8201(UnicodeString arg1, UnicodeString arg2)			Pool	Error		
Microsoft-Windows-Rdms-UI	8208	0	Pool8208(UnicodeString arg1, UnicodeString arg2)			Pool	Informational		
Microsoft-Windows-Rdms-UI	8209	0	Provisioning(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Provisioning	Informational		
Microsoft-Windows-Rdms-UI	8210	0	Provisioning8210(UnicodeString arg1, UnicodeString arg2)			Provisioning	Error		
Microsoft-Windows-Rdms-UI	8211	0	Provisioning8211(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Provisioning	Informational		
Microsoft-Windows-Rdms-UI	8212	0	UserVhd(UnicodeString arg1)			UserVhd	Informational		
Microsoft-Windows-Rdms-UI	8213	0	UserVhd8213(UnicodeString arg1, UnicodeString arg2)			UserVhd	Error		
Microsoft-Windows-Rdms-UI	8214	0	UserVhd8214(UnicodeString arg1)			UserVhd	Informational		
Microsoft-Windows-Rdms-UI	8215	0	VDICollectionCreation8215(UnicodeString arg1)			VDICollectionCreation	Informational		
Microsoft-Windows-Rdms-UI	8216	0	Provisioning8216(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Provisioning	Warning		
Microsoft-Windows-Rdms-UI	8217	0	VDIRecreate(UnicodeString arg1, UnicodeString arg2)			VDIRecreate	Informational		
Microsoft-Windows-Rdms-UI	8218	0	VDIRecreate8218(UnicodeString arg1)			VDIRecreate	Informational		
Microsoft-Windows-Rdms-UI	8219	0	VDIAddVMs(UnicodeString arg1, UnicodeString arg2)			VDIAddVMs	Informational		
Microsoft-Windows-Rdms-UI	8220	0	VDIAddVMs8220(UnicodeString arg1)			VDIAddVMs	Informational		
Microsoft-Windows-Rdms-UI	8221	0	VDIdeleteVMs(UnicodeString arg1, UnicodeString arg2)			VDIdeleteVMs	Informational		
Microsoft-Windows-Rdms-UI	8222	0	VDIdeleteVMs8222(UnicodeString arg1)			VDIdeleteVMs	Informational		
Microsoft-Windows-Rdms-UI	8223	0	Provisioning8223(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Provisioning	Warning		
Microsoft-Windows-Rdms-UI	8224	0	VDIAddVMs8224(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			VDIAddVMs	Error		
Microsoft-Windows-Rdms-UI	8225	0	VDICollectionDeletion(UnicodeString arg1, UnicodeString arg2)			VDICollectionDeletion	Informational		
Microsoft-Windows-Rdms-UI	8226	0	VDICollectionDeletion8226(UnicodeString arg1)			VDICollectionDeletion	Informational		
Microsoft-Windows-Rdms-UI	8227	0	Pool8227(UnicodeString arg1, UnicodeString arg2)			Pool	Informational		
Microsoft-Windows-Rdms-UI	8228	0	Pool8228(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			Pool	Error		
Microsoft-Windows-Rdms-UI	8229	0	VDIAddVMs8229(UnicodeString arg1, UnicodeString arg2)			VDIAddVMs	Informational		
Microsoft-Windows-Rdms-UI	8230	0	VDIcollectionproperties(UnicodeString arg1, UnicodeString arg2)			VDIcollectionproperties	Informational		
Microsoft-Windows-Rdms-UI	8231	0	VDIcollectionproperties8231(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			VDIcollectionproperties	Informational		
Microsoft-Windows-Rdms-UI	8232	0	VDIcollectionproperties8232(UnicodeString arg1, UnicodeString arg2)			VDIcollectionproperties	Informational		
Microsoft-Windows-Rdms-UI	8233	0	UserVhd8233(UnicodeString arg1)			UserVhd	Informational		
Microsoft-Windows-Rdms-UI	8234	0	UserVhd8234(UnicodeString arg1, UnicodeString arg2)			UserVhd	Error		
Microsoft-Windows-Rdms-UI	8235	0	UserVhd8235(UnicodeString arg1)			UserVhd	Informational		
Microsoft-Windows-Rdms-UI	8236	0	UserVhd8236(UnicodeString arg1)			UserVhd	Informational		
Microsoft-Windows-Rdms-UI	8237	0	UserVhd8237(UnicodeString arg1, UnicodeString arg2)			UserVhd	Error		
Microsoft-Windows-Rdms-UI	8238	0	UserVhd8238(UnicodeString arg1)			UserVhd	Informational		
Microsoft-Windows-Rdms-UI	12289	0	RDSHCollectionCreation(UnicodeString arg1)			RDSHCollectionCreation	Informational		
Microsoft-Windows-Rdms-UI	12290	0	RDSHCollectionCreation12290(UnicodeString arg1)			RDSHCollectionCreation	Verbose		
Microsoft-Windows-Rdms-UI	12291	0	RDSHCollectionCreation12291(UnicodeString arg1)			RDSHCollectionCreation	Verbose		
Microsoft-Windows-Rdms-UI	12292	0	RDSHCollectionCreation12292(UnicodeString arg1)			RDSHCollectionCreation	Error		
Microsoft-Windows-Rdms-UI	12293	0	RDSHCollectionCreation12293(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			RDSHCollectionCreation	Informational		
Microsoft-Windows-Rdms-UI	12294	0	RDSHCollectionCreation12294()			RDSHCollectionCreation	Warning		
Microsoft-Windows-Rdms-UI	12295	0	RDSHCollectionCreation12295(UnicodeString arg1)			RDSHCollectionCreation	Informational		
Microsoft-Windows-Rdms-UI	12296	0	RDSHCollectionCreation12296()			RDSHCollectionCreation	Informational		
Microsoft-Windows-Rdms-UI	12297	0	AddServersRDSH(UnicodeString arg1, UnicodeString arg2)			AddServersRDSH	Informational		
Microsoft-Windows-Rdms-UI	12304	0	AddServersRDSH12304(UnicodeString arg1)			AddServersRDSH	Verbose		
Microsoft-Windows-Rdms-UI	12305	0	AddServersRDSH12305(UnicodeString arg1)			AddServersRDSH	Verbose		
Microsoft-Windows-Rdms-UI	12306	0	AddServersRDSH12306(UnicodeString arg1)			AddServersRDSH	Error		
Microsoft-Windows-Rdms-UI	12307	0	AddServersRDSH12307(UnicodeString arg1, UnicodeString arg2)			AddServersRDSH	Informational		
Microsoft-Windows-Rdms-UI	12308	0	AddServersRDSH12308(UnicodeString arg1)			AddServersRDSH	Informational		
Microsoft-Windows-Rdms-UI	12309	0	AddServersRDSH12309()			AddServersRDSH	Informational		
Microsoft-Windows-Rdms-UI	12310	0	RemoveServersRDSH(UnicodeString arg1, UnicodeString arg2)			RemoveServersRDSH	Informational		
Microsoft-Windows-Rdms-UI	12311	0	RemoveServersRDSH12311(UnicodeString arg1)			RemoveServersRDSH	Verbose		
Microsoft-Windows-Rdms-UI	12312	0	RemoveServersRDSH12312(UnicodeString arg1, UnicodeString arg2)			RemoveServersRDSH	Informational		
Microsoft-Windows-Rdms-UI	12313	0	RemoveServersRDSH12313(UnicodeString arg1)			RemoveServersRDSH	Error		
Microsoft-Windows-Rdms-UI	12320	0	RemoveServersRDSH12320(UnicodeString arg1)			RemoveServersRDSH	Informational		
Microsoft-Windows-Rdms-UI	12321	0	DeleteCollection_RDSH(UnicodeString arg1)			DeleteCollection_RDSH	Informational		
Microsoft-Windows-Rdms-UI	12322	0	DeleteCollection_RDSH12322(UnicodeString arg1)			DeleteCollection_RDSH	Verbose		
Microsoft-Windows-Rdms-UI	12323	0	DeleteCollection_RDSH12323(UnicodeString arg1)			DeleteCollection_RDSH	Informational		
Microsoft-Windows-Rdms-UI	12324	0	DeleteCollection_RDSH12324(UnicodeString arg1, UnicodeString arg2)			DeleteCollection_RDSH	Error		
Microsoft-Windows-Rdms-UI	12325	0	DeleteCollection_RDSH12325(UnicodeString arg1)			DeleteCollection_RDSH	Informational		
Microsoft-Windows-Rdms-UI	12326	0	DeleteCollection_RDSH12326(UnicodeString arg1)			DeleteCollection_RDSH	Informational		
Microsoft-Windows-Rdms-UI	12327	0	DeleteCollection_RDSH12327(UnicodeString arg1, UnicodeString arg2)			DeleteCollection_RDSH	Error		
Microsoft-Windows-Rdms-UI	12328	0	DeleteCollection_RDSH12328(UnicodeString arg1)			DeleteCollection_RDSH	Informational		
Microsoft-Windows-Rdms-UI	12329	0	DeleteCollection_RDSH12329(UnicodeString arg1)			DeleteCollection_RDSH	Informational		
Microsoft-Windows-Rdms-UI	16385	0	Publishing(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16386	0	UnPublishing(UnicodeString arg1)			UnPublishing	Informational		
Microsoft-Windows-Rdms-UI	16387	0	Publishing16387(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16388	0	UnPublishing16388(UnicodeString arg1)			UnPublishing	Informational		
Microsoft-Windows-Rdms-UI	16389	0	Publishing16389(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16390	0	UnPublishing16390(UnicodeString arg1)			UnPublishing	Informational		
Microsoft-Windows-Rdms-UI	16391	0	Publishing16391(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16392	0	UnPublishing16392(UnicodeString arg1)			UnPublishing	Informational		
Microsoft-Windows-Rdms-UI	16393	0	Publishing16393(UnicodeString arg1)			Publishing	Error		
Microsoft-Windows-Rdms-UI	16394	0	UnPublishing16394(UnicodeString arg1)			UnPublishing	Error		
Microsoft-Windows-Rdms-UI	16395	0	Publishing16395(UnicodeString arg1)			Publishing	Error		
Microsoft-Windows-Rdms-UI	16396	0	UnPublishing16396(UnicodeString arg1)			UnPublishing	Error		
Microsoft-Windows-Rdms-UI	16397	0	Publishing16397(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16398	0	UnPublishing16398(UnicodeString arg1)			UnPublishing	Informational		
Microsoft-Windows-Rdms-UI	16399	0	Publishing16399(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16400	0	UnPublishing16400(UnicodeString arg1)			UnPublishing	Informational		
Microsoft-Windows-Rdms-UI	16401	0	Publishing16401()			Publishing	Warning		
Microsoft-Windows-Rdms-UI	16402	0	Publishing16402(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16403	0	Publishing16403(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16404	0	Publishing16404(UnicodeString arg1)			Publishing	Error		
Microsoft-Windows-Rdms-UI	16405	0	Publishing16405(UnicodeString arg1)			Publishing	Warning		
Microsoft-Windows-Rdms-UI	16406	0	Publishing16406()			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16407	0	Publishing16407()			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16408	0	Publishing16408()			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16409	0	Publishing16409()			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16410	0	Publishing16410(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16411	0	Publishing16411(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16412	0	Publishing16412(UnicodeString arg1)			Publishing	Error		
Microsoft-Windows-Rdms-UI	16413	0	Publishing16413(UnicodeString arg1)			Publishing	Error		
Microsoft-Windows-Rdms-UI	16414	0	Publishing16414(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	16415	0	Publishing16415(UnicodeString arg1)			Publishing	Informational		
Microsoft-Windows-Rdms-UI	20480	0	DeploymentProperties(UnicodeString arg1, UnicodeString arg2)			DeploymentProperties	Error		
Microsoft-Windows-Rdms-UI	20482	0	DeploymentProperties20482(UnicodeString arg1, UnicodeString arg2)			DeploymentProperties	Warning		
Microsoft-Windows-Rdms-UI	20483	0	DeploymentProperties20483(UnicodeString arg1)			DeploymentProperties	Informational		
Microsoft-Windows-Rdms-UI	20484	0	DeploymentProperties20484(UnicodeString arg1)			DeploymentProperties	Informational		
Microsoft-Windows-Rdms-UI	20485	0	DeploymentProperties20485(UnicodeString arg1)			DeploymentProperties	Informational		
Microsoft-Windows-Rdms-UI	24577	0	CollectionProperties_RDSH(UnicodeString arg1, UnicodeString arg2)			CollectionProperties_RDSH	Informational		
Microsoft-Windows-Rdms-UI	24578	0	CollectionProperties_RDSH24578(UnicodeString arg1)			CollectionProperties_RDSH	Verbose		
Microsoft-Windows-Rdms-UI	24579	0	CollectionProperties_RDSH24579(UnicodeString arg1)			CollectionProperties_RDSH	Verbose		
Microsoft-Windows-Rdms-UI	24580	0	CollectionProperties_RDSH24580(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			CollectionProperties_RDSH	Error		
Microsoft-Windows-Rdms-UI	24581	0	CollectionProperties_RDSH24581(UnicodeString arg1, UnicodeString arg2)			CollectionProperties_RDSH	Informational		
Microsoft-Windows-Rdms-UI	24582	0	CollectionProperties_RDSH24582(UnicodeString arg1)			CollectionProperties_RDSH	Informational		
Microsoft-Windows-Rdms-UI	24583	0	CollectionProperties_RDSH24583(UnicodeString arg1)			CollectionProperties_RDSH	Informational		
Microsoft-Windows-Rdms-UI	24584	0	CollectionProperties_RDSH24584(UnicodeString arg1)			CollectionProperties_RDSH	Error		
Microsoft-Windows-Rdms-UI	32769	0	ConfiguringConnectionBrokerforHighAvailability()			ConfiguringConnectionBrokerforHighAvailability	Informational		
Microsoft-Windows-Rdms-UI	32770	0	ConfiguringConnectionBrokerforHighAvailability32770(UnicodeString arg1)			ConfiguringConnectionBrokerforHighAvailability	Verbose		
Microsoft-Windows-Rdms-UI	32771	0	ConfiguringConnectionBrokerforHighAvailability32771(UnicodeString arg1, UnicodeString arg2, UnicodeString arg3)			ConfiguringConnectionBrokerforHighAvailability	Informational		
