provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ServerManager-DeploymentProvider	100	0	GetServerComponentAsyncmethodcall.(GUID requestGuid)			GetServerComponentAsyncmethodcall.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	101	0	GetServerComponentAsyncmethodcall.101(Boolean restartRequired, GUID requestGuid)			GetServerComponentAsyncmethodcall.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	102	0	GetServerComponentAsyncmethodcall.102(UInt32 ticks, UInt32 totalTicks, GUID requestGuid)			GetServerComponentAsyncmethodcall.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	103	0	GetServerComponentAsyncmethodcall.103(UnicodeString message, GUID requestGuid)			GetServerComponentAsyncmethodcall.	Error		
Microsoft-Windows-ServerManager-DeploymentProvider	104	0	GetEnumerationStatemethodcall.(GUID requestGuid)			GetEnumerationStatemethodcall.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	105	0	GetEnumerationStatemethodcall.105(Boolean restartRequired, GUID requestGuid)			GetEnumerationStatemethodcall.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	106	0	GetEnumerationStatemethodcall.106(UInt32 ticks, UInt32 totalTicks, GUID requestGuid)			GetEnumerationStatemethodcall.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	107	0	GetEnumerationStatemethodcall.107(UnicodeString message, GUID requestGuid)			GetEnumerationStatemethodcall.	Error		
Microsoft-Windows-ServerManager-DeploymentProvider	108	0	GetServerComponentrequestonaseparatethread.(GUID requestGuid)			GetServerComponentrequestonaseparatethread.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	109	0	GetServerComponentrequestonaseparatethread.109(GUID requestGuid)			GetServerComponentrequestonaseparatethread.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	110	0	GetEnumerationStatemethodcall.110(UnicodeString message)			GetEnumerationStatemethodcall.	Error		
Microsoft-Windows-ServerManager-DeploymentProvider	111	0	GetServerComponentrequestonaseparatethread.111(GUID requestGuid)			GetServerComponentrequestonaseparatethread.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	112	0	GetServerComponentrequestonaseparatethread.112(Boolean restartRequired, GUID requestGuid)			GetServerComponentrequestonaseparatethread.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	113	0	GetServerComponentrequestonaseparatethread.113(UnicodeString message, GUID requestGuid)			GetServerComponentrequestonaseparatethread.	Error		
Microsoft-Windows-ServerManager-DeploymentProvider	114	0	GetServerComponentrequestonaseparatethread.114(UnicodeString message, UnicodeString message2, Int32 ErrorCode)			GetServerComponentrequestonaseparatethread.	Error		
Microsoft-Windows-ServerManager-DeploymentProvider	115	0	GetServerComponentrequestonaseparatethread.115(UnicodeString ptzMessage, UInt32 value)			GetServerComponentrequestonaseparatethread.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	200	0	AddServerComponentAsyncmethodcall.(UnicodeString serverComponentNames, GUID requestGuid)			AddServerComponentAsyncmethodcall.	Informational		
Microsoft-Windows-ServerManager-DeploymentProvider	201	0	AddServerComponentAsyncmethodcall.201(UInt32 ticks, UInt32 totalTicks, GUID requestGuid)			AddServerComponentAsyncmethodcall.	Informational		
