provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ServerManager-ManagementProvider	1	0	ProviderinitializationStart()	Start		Providerinitialization	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	2	0	ProviderinitializationStop()	Stop		Providerinitialization	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	12	0	Theerrorcheckingtask(UnicodeString ptzMessage1, UnicodeString ptzMessage2)			Theerrorcheckingtask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	14	0	GetperformancecollectorstatetaskStart()	Start		Getperformancecollectorstatetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	15	0	GetperformancecollectorstatetaskStop()	Stop		Getperformancecollectorstatetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	16	0	Getperformancecollectorstatetask(HexInt32 hResult)			Getperformancecollectorstatetask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	17	0	SetperformancecollectorstatetaskStart()	Start		Setperformancecollectorstatetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	18	0	SetperformancecollectorstatetaskStop()	Stop		Setperformancecollectorstatetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	19	0	Setperformancecollectorstatetask(HexInt32 hResult)			Setperformancecollectorstatetask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	26	0	GetcountersamplesintimerangetaskStart()	Start		Getcountersamplesintimerangetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	27	0	GetcountersamplesintimerangetaskStop()	Stop		Getcountersamplesintimerangetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	28	0	Getcountersamplesintimerangetask(HexInt32 hResult)			Getcountersamplesintimerangetask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	29	0	Getcountersamplesintimerangetask29(UnicodeString Name, HexInt32 hResult, HexInt32 hLastError)			Getcountersamplesintimerangetask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	30	0	GetcountersamplesattimetaskStart()	Start		Getcountersamplesattimetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	31	0	GetcountersamplesattimetaskStop()	Stop		Getcountersamplesattimetask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	32	0	Getcountersamplesattimetask(HexInt32 hResult)			Getcountersamplesattimetask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	33	0	Getcountersamplesintimerangetask33(UnicodeString Name, HexInt32 hResult, HexInt32 hLastError)			Getcountersamplesintimerangetask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	41	0	Getserverinventorytask()			Getserverinventorytask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	42	0	Getserverinventorytask42()			Getserverinventorytask	Informational		
Microsoft-Windows-ServerManager-ManagementProvider	43	0	Getserverinventorytask43()			Getserverinventorytask	Error		
Microsoft-Windows-ServerManager-ManagementProvider	44	0	Getserverinventorytask44(UnicodeString facility, HexInt32 error, HexInt32 lasterror)			Getserverinventorytask	Warning		
