provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-ServerManager-MultiMachine	0	0	Servermanagerrefreshtask.()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	1	0	Servermanagerrefreshtask.1()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	2	0	Servermanagerrefreshtask.2(UnicodeString Category, UnicodeString Machines)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	3	0	Servermanagerrefreshtask.3(UnicodeString Category, UnicodeString Machines)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	4	0	Servermanagerrefreshtask.4()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	5	0	Servermanagerrefreshtask.5(UnicodeString MachineName, UnicodeString JobName)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	6	0	Servermanagerrefreshtask.6(UnicodeString MachineName, UnicodeString JobName)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	7	0	Servermanagerrefreshtask.7(UnicodeString MachineName, UnicodeString Error)			Servermanagerrefreshtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	8	0	Automationjobexecution.Start(GUID ID, UnicodeString Command, UnicodeString Target, UnicodeString State)	Start		Automationjobexecution.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	9	0	Automationjobexecution.Start9(GUID ID, UnicodeString Command, UnicodeString Target, UnicodeString State)	Start		Automationjobexecution.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	10	0	Servermanagerrefreshtask.10(UnicodeString RefreshTriggerSource, UnicodeString Category, UnicodeString Machines, GUID ID)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	11	0	Servermanagerrefreshtask.11(UnicodeString RefreshTriggerSource, UnicodeString Category, UnicodeString Machines, GUID ID)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	12	0	Servermanagerrefreshtask.12(UnicodeString TaskName)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	13	0	Servermanagerrefreshtask.13(UnicodeString TaskName)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	14	0	Servermanagerrefreshtask.14(UnicodeString ErrorMessage)			Servermanagerrefreshtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	15	0	Servermanagerrefreshtask.15()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	16	0	Servermanagerrefreshtask.16()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	17	0	Servermanagerrefreshtask.17(UnicodeString ErrorMessage)			Servermanagerrefreshtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	18	0	Servermanagerrefreshtask.18()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	19	0	Servermanagerrefreshtask.19()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	20	0	Servermanagerrefreshtask.20()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	21	0	Servermanagerrefreshtask.21(UnicodeString ErrorMessage)			Servermanagerrefreshtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	22	0	Servermanagerrefreshtask.22(UnicodeString MachineName)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	23	0	Servermanagerrefreshtask.23()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	24	0	Servermanagerrefreshtask.24()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	25	0	Servermanagerrefreshtask.25(UnicodeString ErrorMessage)			Servermanagerrefreshtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	26	0	Servermanagerrefreshtask.26()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	27	0	Servermanagerrefreshtask.27()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	28	0	Servermanagerrefreshtask.28()			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	29	0	Servermanagerrefreshtask.29(UnicodeString ErrorMessage)			Servermanagerrefreshtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	30	0	Servermanagerrefreshtask.30(UnicodeString MachineName)			Servermanagerrefreshtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	31	0	Therolepluginloadtask.Start(Int32 roleId)	Start		Therolepluginloadtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	32	0	Therolepluginloadtask.Stop(Int32 roleId)	Stop		Therolepluginloadtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	33	0	Therolepluginloadtask.(Int32 roleId, UnicodeString Message)			Therolepluginloadtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	34	0	Therolepluginunloadtask.Start(Int32 roleId)	Start		Therolepluginunloadtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	35	0	Therolepluginunloadtask.Start35(Int32 roleId)	Start		Therolepluginunloadtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	36	0	Therolepluginunloadtask.(Int32 roleId, UnicodeString Message)			Therolepluginunloadtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	37	0	TherolepluginRegistrationinformationloadtask.()			TherolepluginRegistrationinformationloadtask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	38	0	TherolepluginRegistrationinformationloadtask.38(UnicodeString message)			TherolepluginRegistrationinformationloadtask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	39	0	Thecommandexecutiontask.Start()	Start		Thecommandexecutiontask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	40	0	Thecommandexecutiontask.Stop()	Stop		Thecommandexecutiontask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	41	0	Thecommandexecutiontask.Start41()	Start		Thecommandexecutiontask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	42	0	Thecommandexecutiontask.Stop42()	Stop		Thecommandexecutiontask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	43	0	Thecommandexecutiontask.(UnicodeString machineName, UnicodeString errorMessage)			Thecommandexecutiontask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	44	0	Thecommandexecutiontask.44(UnicodeString machineName, UnicodeString errorMessage)			Thecommandexecutiontask.	Error		
Microsoft-Windows-ServerManager-MultiMachine	45	0	Thecommandexecutiontask.Start45()	Start		Thecommandexecutiontask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	46	0	Thecommandexecutiontask.Stop46()	Stop		Thecommandexecutiontask.	Informational		
Microsoft-Windows-ServerManager-MultiMachine	47	0	Servermanagerstartuptask.Start()	Start		Servermanagerstartuptask.	Informational		
