provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-TerminalServices-SessionBroker-Client	1013	0	ConnectionBrokerClientstartupReaddata(UnicodeString param1)	Readdata		ConnectionBrokerClientstartup	Warning		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1014	0	ConnectionBrokerClientstartupReaddata1014(UnicodeString param1)	Readdata		ConnectionBrokerClientstartup	Warning		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1015	0	ConnectionBrokerClientstartup(UnicodeString param1)			ConnectionBrokerClientstartup	Warning		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1280	0	ConnectionBrokerClientstartupJoinRDConnectionBroker(UnicodeString param1, UnicodeString param2)	JoinRDConnectionBroker		ConnectionBrokerClientstartup	Warning		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1281	0	ConnectionBrokerClientstartupJoinRDConnectionBroker1281(UnicodeString param1)	JoinRDConnectionBroker		ConnectionBrokerClientstartup	Informational		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1282	0	ConnectionBrokerClientterminateLeaveRDConnectionBroker(UnicodeString param1, HexInt32 param2)	LeaveRDConnectionBroker		ConnectionBrokerClientterminate	Warning		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1283	0	ConnectionBrokerClientterminateLeaveRDConnectionBroker1283(UnicodeString param1)	LeaveRDConnectionBroker		ConnectionBrokerClientterminate	Informational		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1284	0	ConnectionBrokerClientstartupInitialization(UnicodeString param1, UnicodeString param2)	Initialization		ConnectionBrokerClientstartup	Error		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1296	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest(UnicodeString param1, UnicodeString param2, UnicodeString param3)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Error		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1297	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1297(UnicodeString param1, UnicodeString param2)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1298	0	ConnectionBrokerClientstartupProcessRequest(UnicodeString param1, HexInt32 param2)	ProcessRequest		ConnectionBrokerClientstartup	Error		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1299	0	RemoteDesktopServicessessionstatechangesarenotifiedtoRDConnectionBrokerNotifyRDConnectionBroker(UnicodeString param1, UnicodeString param2, Int32 param3, UnicodeString param4)	NotifyRDConnectionBroker		RemoteDesktopServicessessionstatechangesarenotifiedtoRDConnectionBroker	Warning		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1300	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1300(UnicodeString param1, HexInt32 param2)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Warning		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1301	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1301(UnicodeString param1, UnicodeString param2, Int32 param3)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1302	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1302(UnicodeString param1, Int32 param2)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1303	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1303(UnicodeString param1, HexInt32 param2)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1304	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1304(UnicodeString param1)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1305	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1305(UnicodeString param1)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1306	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1306(UnicodeString param1, UnicodeString param2, UnicodeString param3)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Error		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1307	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1307(UnicodeString param1, UnicodeString param2, UnicodeString param3, UnicodeString param4)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1308	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1308(UnicodeString param1, UnicodeString param2)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Verbose		
Microsoft-Windows-TerminalServices-SessionBroker-Client	1309	0	RDConnectionBrokerClientprocessesrequestfromauserProcessRequest1309(UnicodeString param1, UnicodeString param2, UnicodeString param3)	ProcessRequest		RDConnectionBrokerClientprocessesrequestfromauser	Error		
