provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft-Windows-WAS	5001	0	task_0PCODE_128pcode_128()	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5002	0	task_0PCODE_192pcode_192(UnicodeString AppPoolID, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5003	0	task_0PCODE_192pcode_1925003()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5004	0	task_0PCODE_192pcode_1925004()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5005	0	task_0PCODE_192pcode_1925005(UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5006	0	task_0PCODE_192pcode_1925006()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5007	0	task_0PCODE_192pcode_1925007()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5008	0	task_0PCODE_128pcode_1285008()	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5009	0	task_0PCODE_128pcode_1285009(UnicodeString AppPoolID, UnicodeString ProcessID, UnicodeString ExitCode)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5010	0	task_0PCODE_128pcode_1285010(UnicodeString AppPoolID, UnicodeString ProcessID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5011	0	task_0PCODE_128pcode_1285011(UnicodeString AppPoolID, UnicodeString ProcessID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5012	0	task_0PCODE_128pcode_1285012(UnicodeString AppPoolID, UnicodeString ProcessID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5013	0	task_0PCODE_128pcode_1285013(UnicodeString AppPoolID, UnicodeString ProcessID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5014	0	task_0PCODE_128pcode_1285014(UnicodeString AppPoolID, UnicodeString ProcessID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5015	0	task_0PCODE_192pcode_1925015(UnicodeString AppPoolID, UnicodeString OrphanAction, UInt32 __binLength, Binary binary)	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5016	0	task_0PCODE_128pcode_1285016()	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5017	0	task_0PCODE_192pcode_1925017()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5018	0	task_0PCODE_192pcode_1925018()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5019	0	task_0PCODE_128pcode_1285019()	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5020	0	task_0PCODE_192pcode_1925020()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5021	0	task_0PCODE_128pcode_1285021(UnicodeString AppPoolID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5022	0	task_0PCODE_128pcode_1285022(UnicodeString AppPoolID, UInt32 __binLength, Binary binary)	opcode_128		task_0	Always		
Microsoft-Windows-WAS	5023	0	task_0PCODE_192pcode_1925023()	opcode_192		task_0	Always		
Microsoft-Windows-WAS	5024	0	task_0PCODE_192pcode_1925024(UnicodeString SiteID, UnicodeString LogFileTruncateBytes)	opcode_192		task_0	Always		
