provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
Microsoft.Windows.HyperV.GpupVDev	1500	0	task_0(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Informational		
Microsoft.Windows.HyperV.GpupVDev	1510	0	task_01510(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Warning		
Microsoft.Windows.HyperV.GpupVDev	1520	0	task_01520(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Error		
Microsoft.Windows.HyperV.GpupVDev	1530	0	task_01530(UnicodeString TraceData, UnicodeString VmName, UnicodeString VmId, UInt32 StackFrameCount, Pointer StackFrame, UInt32 ModuleCount, Int32 Module)			task_0	Critical		
Microsoft.Windows.HyperV.GpupVDev	23012	0	task_023012(UnicodeString VmName, UnicodeString VmId, UnicodeString Device, UnicodeString ServerVersion, UnicodeString ClientVersion)			task_0	Error		
Microsoft.Windows.HyperV.GpupVDev	23013	0	task_023013(UnicodeString VmName, UnicodeString VmId, UnicodeString Device, UnicodeString ServerVersion, UnicodeString ClientVersion)			task_0	Error		
Microsoft.Windows.HyperV.GpupVDev	34000	0	task_034000(UnicodeString Parameter0)			task_0	Error		
Microsoft.Windows.HyperV.GpupVDev	34001	0	task_034001()			task_0	Error		
Microsoft.Windows.HyperV.GpupVDev	34002	0	task_034002(UnicodeString VmName, UnicodeString VmId, UnicodeString Device)			task_0	Error		
Microsoft.Windows.HyperV.GpupVDev	34003	0	task_034003(UnicodeString VmName, UnicodeString VmId, UnicodeString Device)			task_0	Error		
