provider	event_id	version	event(fields)	opcode	keywords	task	level	evtlog_channel	evtlog_message
WindowsAzure-GuestAgent-Diagnostic	1	0	RoleInstanceDowntime(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString startTime, UnicodeString initialRoleState, UnicodeString endRoleState)			RoleInstanceDowntime	Informational		
WindowsAzure-GuestAgent-Diagnostic	2	0	PluginError(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString pluginName, UnicodeString pluginVersion, UnicodeString pluginAction, UnicodeString pluginError)			PluginError	Error		
WindowsAzure-GuestAgent-Diagnostic	3	0	FirewallError(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString protocolName, UnicodeString protocolType, UnicodeString port, UnicodeString error)			FirewallError	Error		
WindowsAzure-GuestAgent-Diagnostic	4	0	CertificateError(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString certificateName, UnicodeString error)			CertificateError	Error		
WindowsAzure-GuestAgent-Diagnostic	5	0	OtherError(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString errorContext, UnicodeString errorMessage)			OtherError	Error		
WindowsAzure-GuestAgent-Diagnostic	6	0	GuestAgentUpdateStatus(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UInt64 updateTimeInMilliseconds, UnicodeString updateResult, UnicodeString oldGuestAgentVersion, UnicodeString newGuestAgentVersion, UnicodeString errorMessage)			GuestAgentUpdateStatus	Informational		
WindowsAzure-GuestAgent-Diagnostic	7	0	GenericError(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString eventName, UnicodeString error, UnicodeString context1, UnicodeString context2, UnicodeString context3)			GenericError	Error		
WindowsAzure-GuestAgent-Diagnostic	8	1	GARoleInstanceDowntime_V1(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString startTime, UnicodeString initialRoleState, UnicodeString endRoleState)			GARoleInstanceDowntime	Error		
WindowsAzure-GuestAgent-Diagnostic	9	1	GAFirewallError_V1(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString protocolName, UnicodeString protocolType, UnicodeString port, UnicodeString error)			GAFirewallError	Error		
WindowsAzure-GuestAgent-Diagnostic	10	1	GACertificateError_V1(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString certificateName, UnicodeString error)			GACertificateError	Error		
WindowsAzure-GuestAgent-Diagnostic	11	1	GAOtherError_V1(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString errorContext, UnicodeString errorMessage)			GAOtherError	Error		
WindowsAzure-GuestAgent-Diagnostic	12	1	GAGenericError_V1(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString eventName, UnicodeString error, UnicodeString context1, UnicodeString context2, UnicodeString context3)			GAGenericError	Error		
WindowsAzure-GuestAgent-Diagnostic	13	1	GAServiceError_V1(Int64 Timestamp100ns, Int32 EventPid, Int32 EventTid, UnicodeString name, UnicodeString operation, UnicodeString message)			GAServiceError	Error		
