provider	category	event_id	version	event(fields)	event_type	description
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	1	0	AspNetStart(UInt64 ConnID, Object ContextId, String Method, String Path, String QueryString)	Start	Start
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	2	0	AspNetStop(UInt64 ConnID, Object ContextId)	End	End
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	3	0	AspNetRequestQueued(UInt64 ConnID, Object ContextId)	RequestQueued	RequestQueued
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	4	0	AspNetRequestDequeued(UInt64 ConnID, Object ContextId)	RequestDequeued	RequestDequeued
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	5	0	AspNetGetAppDomainEnter(UInt64 ConnID, Object ContextId)	GetAppDomainEnter	GetAppDomainEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	6	0	AspNetGetAppDomainLeave(UInt64 ConnID, Object ContextId)	GetAppDomainLeave	GetAppDomainLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	7	0	AspNetAppDomainEnter(UInt64 ConnID, Object ContextId, String DomainId)	AppDomainEnter	AppDomainEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	8	0	AspNetStartHandler(UInt64 ConnID, Object ContextId, String HandlerName, String EventName)	StartHandler	StartHandler
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	9	0	AspNetEndHandler(UInt64 ConnID, Object ContextId)	EndHandler	EndHandler
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	10	0	AspNetPipelineModuleEnter(UInt64 ConnID, Object ContextId, String ModuleName)	PipelineModuleEnter	PipelineModuleEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	11	0	AspNetPipelineModuleLeave(UInt64 ConnID, Object ContextId, String ModuleName)	PipelineModuleLeave	PipelineModuleLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	12	0	AspNetMapHandlerEnter(UInt64 ConnID, Object ContextId)	MapHandlerEnter	MapHandlerEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	13	0	AspNetMapHandlerLeave(UInt64 ConnID, Object ContextId)	MapHandlerLeave	MapHandlerLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	14	0	AspNetParseEnter(UInt64 ConnID, Object ContextId)	ParseEnter	ParseEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	15	0	AspNetParseLeave(UInt64 ConnID, Object ContextId)	ParseLeave	ParseLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	16	0	AspNetCompileEnter(UInt64 ConnID, Object ContextId)	CompileEnter	CompileEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	17	0	AspNetCompileLeave(UInt64 ConnID, Object ContextId, String Files, String Status)	CompileLeave	CompileLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	18	0	AspNetHttpHandlerEnter(UInt64 ConnID, Object ContextId)	HttpHandlerEnter	HttpHandlerEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	19	0	AspNetHttpHandlerLeave(UInt64 ConnID, Object ContextId)	HttpHandlerLeave	HttpHandlerLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	20	0	AspNetSessionStatePartitionStart(UInt64 ConnID, Object ContextId, String ResolverType, String SessionId)	SessionStatePartitionStart	SessionStatePartitionStart
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	21	0	AspNetSessionStatePartitionEnd(UInt64 ConnID, Object ContextId, String ResolverResult)	SessionStatePartitionEnd	SessionStatePartitionEnd
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	22	0	AspNetPagePreInitEnter(UInt64 ConnID, Object ContextId)	PagePreInitEnter	PagePreInitEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	23	0	AspNetPagePreInitLeave(UInt64 ConnID, Object ContextId)	PagePreInitLeave	PagePreInitLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	24	0	AspNetPageInitEnter(UInt64 ConnID, Object ContextId)	PageInitEnter	PageInitEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	25	0	AspNetPageInitLeave(UInt64 ConnID, Object ContextId)	PageInitLeave	PageInitLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	26	0	AspNetPageLoadViewstateEnter(UInt64 ConnID, Object ContextId)	PageLoadViewstateEnter	PageLoadViewstateEnter
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	27	0	AspNetPageLoadViewstateLeave(UInt64 ConnID, Object ContextId)	PageLoadViewstateLeave	PageLoadViewstateLeave
ASP.NET Events	{06A01367-79D3-4594-8EB3-C721603C4679}	28	0	AspNetPageLoadPostDataEnter(UInt64 ConnID, Object ContextId)	PageLoadPostDataEnter	PageLoadPostDataEnter
