provider	category	event_id	version	event(fields)	event_type	description
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	1	0	GCStart(UInt32 Count, UInt32 Type)	GCStart	Start GC Collection
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	2	0	GCEnd(UInt32 Count, UInt32 Depth)	GCEnd	End GC Collection
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	4	0	GCRestartEEEnd()	GCRestartEE End	GCRestartEEEnd
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	5	0	HeapStats(UInt64 GenerationSize0, UInt64 TotalPromotedSize0, UInt64 GenerationSize1, UInt64 TotalPromotedSize1, UInt64 GenerationSize2, UInt64 TotalPromotedSize2, UInt64 GenerationSize3, UInt64 TotalPromotedSize3, UInt64 FinalizationPromotedSize, UInt64 FinalizationPromotedCount, UInt32 PinnedObjectCount, UInt32 SinkBlockCount, UInt32 GCHandleCount)	GCHeapStats	GC Heap Statistics
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	6	0	AllocateSegment(UInt64 Address, UInt64 Size, UInt32 Type)	CreateSegment	Segment allocation
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	7	0	FreeSegment(UInt64 Address)	FreeSegment	Segment free
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	8	0	RestartEEBegin()	RestartEE Begin	GCRestartEEBegin
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	9	0	GCSuspendEEEnd()	GCSuspendEE End	GCSuspendEEEnd
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	10	0	SuspendEEBegin(UInt32 Reason, UInt32 GcCount)	SuspendEE Begin	Suspend EE
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	11	0	AllocationTick(UInt32 Allocation, UInt32 AllocationKind)	AllocationTick	Allocation Tick
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	15	0	GCFinalizersEnd(UInt32 Count)	GCFinalizers End	GCFinalizersEnd
Microsoft-Windows-DotNETRuntime	{044973cd-251f-4dff-a3e9-9d6307286b05}	19	0	GCFinalizersBegin()	GCFinalizers Begin	GCFinalizersBegin
Microsoft-Windows-DotNETRuntime	{15447A14-B523-46ae-B75B-023F900B4393}	1	0	StrongNameVerification(UInt32 VerificationFlags, UInt32 ErrorCode, String FullyQualifiedAssemblyName)		StrongNameVerification Start/End
Microsoft-Windows-DotNETRuntime	{15447A14-B523-46ae-B75B-023F900B4393}	2	0	StrongNameVerification(UInt32 VerificationFlags, UInt32 ErrorCode, String FullyQualifiedAssemblyName)		StrongNameVerification Start/End
Microsoft-Windows-DotNETRuntime	{300ce105-86d1-41f8-b9d2-83fcbff32d99}	1	0	ExceptionThrown()	Exception	Exception
Microsoft-Windows-DotNETRuntime	{3044F61A-99B0-4c21-B203-D39423C73B00}	14	0	RundownComplete()		Rundown Complete Info
Microsoft-Windows-DotNETRuntime	{3044F61A-99B0-4c21-B203-D39423C73B00}	15	0	RundownComplete()		Rundown Complete Info
